Census Tract,Population 16 Years and Over:,Population 16 Years and Over: In Labor Force,Population 16 Years and Over: In Labor Force: Civilian: Employed,Population 16 Years and Over: In Labor Force: Civilian: Unemployed,Population 16 Years and Over: Not in Labor Force,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,Average Family Income (In 2022 Inflation Adjusted Dollars),Households:,Households: With Public Assistance Income,Households: No Public Assistance Income,Households: With Retirement Income,Households: No Retirement Income,Families: 3.00 to 3.99,Families: 4.00 to 4.99,Families: 5.00 and Over,Total:,Total: No Health Insurance Coverage,Total: With Health Insurance Coverage,Total: With Health Insurance Coverage: Public Health Coverage,Total: With Health Insurance Coverage: Private Health Insurance,Population Under 18:,Population Under 18: No Health Insurance Coverage,Population Under 18: With Health Insurance Coverage,Population 18 to 24:,Population 18 to 24: No Health Insurance Coverage,Population 18 to 24: With Health Insurance Coverage,Population 25 to 34:,Population 25 to 34: No Health Insurance Coverage,Population 25 to 34: With Health Insurance Coverage,Population 35 to 64:,Population 35 to 64: No Health Insurance Coverage,Population 35 to 64: With Health Insurance Coverage,Population 65 or Older:,Population 65 or Older: No Health Insurance Coverage,Population 65 or Older: With Health Insurance Coverage
Geo_TRACT,SE_A17002_001,SE_A17002_002,SE_A17002_005,SE_A17002_006,SE_A17002_007,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A14011_001,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A10015_002,SE_A10015_003,SE_D13004_004,SE_D13004_005,SE_D13004_006,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005,SE_A20002_002,SE_A20002_003,SE_A20002_004,SE_A20002_007,SE_A20002_008,SE_A20002_009,SE_A20002_012,SE_A20002_013,SE_A20002_014,SE_A20002_017,SE_A20002_018,SE_A20002_019,SE_A20002_022,SE_A20002_023,SE_A20002_024
603601,3486,2026,1931,66,1460,3185,105,488,769,1031,641,97,54,163747.4271,1785,0,1785,655,1130,63,123,757,3935,52,3883,1723,3055,788,0,788,182,0,182,363,21,342,1604,31,1573,998,0,998
603602,2019,1337,1299,38,682,1837,51,146,224,840,355,197,24,237496.4844,888,22,866,332,556,26,112,545,2598,65,2533,679,2236,626,39,587,171,5,166,193,0,193,1072,21,1051,536,0,536
603603,2095,1418,1354,55,677,1887,48,285,326,820,250,128,30,207307.0833,967,4,963,320,647,45,109,492,2535,53,2482,624,2304,529,0,529,199,6,193,169,9,160,1095,38,1057,543,0,543
603700,2949,2082,1921,107,867,2621,256,422,478,958,365,67,75,123900.324,1581,12,1569,359,1222,136,89,447,3590,213,3377,1310,2533,792,22,770,267,20,247,440,18,422,1463,153,1310,628,0,628
603800,4491,3311,3060,243,1180,4075,34,784,836,1483,554,302,82,153883.9346,2354,14,2340,714,1640,159,193,1000,5689,95,5594,1401,5109,1444,15,1429,221,15,206,771,10,761,2299,55,2244,954,0,954
603901,4082,2926,2645,281,1156,3673,163,576,889,1277,436,179,153,170338.8745,2173,12,2161,490,1683,47,180,759,5029,220,4809,1213,4337,1092,41,1051,422,17,405,602,31,571,1989,131,1858,924,0,924
603902,2974,2084,1793,291,890,2533,101,465,668,792,404,82,21,133751.5528,1885,33,1852,516,1369,78,174,450,3412,76,3336,1015,2958,506,0,506,436,0,436,326,6,320,1232,70,1162,912,0,912
604100,2090,1454,1303,151,636,1742,436,687,385,168,61,5,0,75659.18675,834,49,785,128,706,66,87,87,2904,338,2566,1353,1343,943,27,916,279,63,216,352,69,283,1097,179,918,233,0,233
604200,2717,1956,1681,264,761,2404,119,423,711,628,364,73,86,99133.89626,1530,55,1475,329,1201,125,78,304,3144,247,2897,912,2306,611,0,611,222,0,222,629,95,534,1232,125,1107,450,27,423
604300,3323,2403,2335,68,920,3090,53,505,581,867,696,192,196,185511.6856,1804,0,1804,383,1421,54,158,663,3927,69,3858,850,3502,735,0,735,131,0,131,648,9,639,1742,60,1682,671,0,671
604400,2771,2012,1965,47,759,2515,37,381,709,631,620,112,25,208294.5691,1420,0,1420,315,1105,81,130,594,3367,86,3281,700,3022,701,7,694,151,0,151,408,44,364,1503,35,1468,604,0,604
604600,1653,1269,1227,42,384,1442,22,410,402,349,179,54,26,119690.7692,1038,28,1010,154,884,17,17,210,2050,125,1925,580,1559,426,0,426,195,6,189,212,21,191,967,98,869,250,0,250
604700,1493,1063,1030,33,430,1408,86,322,458,395,126,18,3,131998.5537,691,18,673,163,528,35,106,247,1887,53,1834,478,1607,394,0,394,96,0,96,329,10,319,772,43,729,296,0,296
605100,1934,1212,1108,104,722,1713,154,799,396,206,92,46,20,81003.80952,861,6,855,204,657,168,55,145,2294,173,2121,892,1580,426,21,405,254,0,254,358,54,304,830,98,732,426,0,426
605200,1800,1433,1375,58,367,1576,183,516,444,267,107,23,36,97606.95103,938,42,896,167,771,128,54,192,2709,203,2506,886,1877,909,15,894,235,0,235,387,97,290,903,91,812,275,0,275
605300,1534,912,843,69,622,1383,258,540,398,149,17,21,0,82063.0137,853,22,831,311,542,52,53,131,1894,79,1815,893,1300,423,0,423,134,16,118,258,16,242,703,47,656,376,0,376
605400,2155,1499,1397,102,656,1968,141,898,473,366,71,19,0,127424.7772,1133,12,1121,287,846,122,22,254,2498,72,2426,967,1737,396,0,396,144,0,144,549,11,538,992,61,931,417,0,417
605602,2329,1824,1688,136,505,2009,82,512,525,598,219,24,49,136890.8434,1086,46,1040,221,865,37,130,440,3050,59,2991,977,2356,893,0,893,170,0,170,231,0,231,1359,59,1300,397,0,397
605700,2653,1883,1811,72,770,2318,52,647,593,582,401,27,16,128437.8109,1293,5,1288,425,868,129,146,356,3431,35,3396,865,2804,952,0,952,189,0,189,415,21,394,1424,14,1410,451,0,451
605800,2368,1700,1700,0,668,2189,88,305,611,812,267,97,9,171041.9236,1208,12,1196,402,806,60,80,495,2937,41,2896,851,2524,626,11,615,123,0,123,565,9,556,914,21,893,709,0,709
