Census Tract,Population 16 Years and Over:,Population 16 Years and Over: In Labor Force,Population 16 Years and Over: In Labor Force: Civilian: Employed,Population 16 Years and Over: In Labor Force: Civilian: Unemployed,Population 16 Years and Over: Not in Labor Force,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Average Family Income (In 2022 Inflation Adjusted Dollars),Households:,Households: With Public Assistance Income,Households: No Public Assistance Income,Households: With Retirement Income,Households: No Retirement Income,Total:,Total: No Health Insurance Coverage,Total: With Health Insurance Coverage,Population 25 to 34:,Population 25 to 34: No Health Insurance Coverage,Population 25 to 34: With Health Insurance Coverage,Population 65 or Older:,Population 65 or Older: No Health Insurance Coverage,Population 65 or Older: With Health Insurance Coverage
Geo_TRACT,Pop_16yrs_Over,Labor_16Plus,Employed_16Plus,Unemployed_16Plus,Not_Labor_16Plus,Pop_25Plus,Less_HS_25Plus,HS_Grads_25Plus,Some_College_25Plus,Bachelors_25Plus,Masters_25Plus,Avg_Fam_Inc,Households,Housholds_Public_AssistInc,Housholds_No_Public_Assist,Housholds_Retire_Inc,Housholds_No_Retir_Inc,Total,Total_No_Health_Ins,Total_With_Health_Ins,Pop_25_34,Pop_25_34_No_Health_Ins,Pop_25_34_With_Health_Ins,Pop_65Plus,Pop_65Plus_No_Health_Ins,Pop_65Plus_With_Health_Ins
603506,4794,3072,2893,179,1722,4240,126,457,742,1498,1038,202230.5211,2112,0,2112,578,1534,6058,15,6043,380,0,380,1136,0,1136
603507,6312,3856,3537,293,2456,5677,380,907,663,1652,1122,204290.5495,2931,84,2847,611,2320,7342,119,7223,526,11,515,1623,0,1623
603601,3486,2026,1931,66,1460,3185,105,488,769,1031,641,163747.4271,1785,0,1785,655,1130,3935,52,3883,363,21,342,998,0,998
603602,2019,1337,1299,38,682,1837,51,146,224,840,355,237496.4844,888,22,866,332,556,2598,65,2533,193,0,193,536,0,536
603603,2095,1418,1354,55,677,1887,48,285,326,820,250,207307.0833,967,4,963,320,647,2535,53,2482,169,9,160,543,0,543
603700,2949,2082,1921,107,867,2621,256,422,478,958,365,123900.324,1581,12,1569,359,1222,3590,213,3377,440,18,422,628,0,628
603800,4491,3311,3060,243,1180,4075,34,784,836,1483,554,153883.9346,2354,14,2340,714,1640,5689,95,5594,771,10,761,954,0,954
603901,4082,2926,2645,281,1156,3673,163,576,889,1277,436,170338.8745,2173,12,2161,490,1683,5029,220,4809,602,31,571,924,0,924
603902,2974,2084,1793,291,890,2533,101,465,668,792,404,133751.5528,1885,33,1852,516,1369,3412,76,3336,326,6,320,912,0,912
604100,2090,1454,1303,151,636,1742,436,687,385,168,61,75659.18675,834,49,785,128,706,2904,338,2566,352,69,283,233,0,233
604200,2717,1956,1681,264,761,2404,119,423,711,628,364,99133.89626,1530,55,1475,329,1201,3144,247,2897,629,95,534,450,27,423
604300,3323,2403,2335,68,920,3090,53,505,581,867,696,185511.6856,1804,0,1804,383,1421,3927,69,3858,648,9,639,671,0,671
604400,2771,2012,1965,47,759,2515,37,381,709,631,620,208294.5691,1420,0,1420,315,1105,3367,86,3281,408,44,364,604,0,604
604600,1653,1269,1227,42,384,1442,22,410,402,349,179,119690.7692,1038,28,1010,154,884,2050,125,1925,212,21,191,250,0,250
604700,1493,1063,1030,33,430,1408,86,322,458,395,126,131998.5537,691,18,673,163,528,1887,53,1834,329,10,319,296,0,296
605100,1934,1212,1108,104,722,1713,154,799,396,206,92,81003.80952,861,6,855,204,657,2294,173,2121,358,54,304,426,0,426
605200,1800,1433,1375,58,367,1576,183,516,444,267,107,97606.95103,938,42,896,167,771,2709,203,2506,387,97,290,275,0,275
605300,1534,912,843,69,622,1383,258,540,398,149,17,82063.0137,853,22,831,311,542,1894,79,1815,258,16,242,376,0,376
605400,2155,1499,1397,102,656,1968,141,898,473,366,71,127424.7772,1133,12,1121,287,846,2498,72,2426,549,11,538,417,0,417
605602,2329,1824,1688,136,505,2009,82,512,525,598,219,136890.8434,1086,46,1040,221,865,3050,59,2991,231,0,231,397,0,397
605700,2653,1883,1811,72,770,2318,52,647,593,582,401,128437.8109,1293,5,1288,425,868,3431,35,3396,415,21,394,451,0,451
605800,2368,1700,1700,0,668,2189,88,305,611,812,267,171041.9236,1208,12,1196,402,806,2937,41,2896,565,9,556,709,0,709
605900,1946,1447,1380,67,499,1764,59,451,325,603,252,149509.7282,1046,11,1035,405,641,2695,169,2526,274,15,259,501,0,501
606000,1591,1029,905,124,562,1398,62,178,409,482,117,204873.6626,878,15,863,246,632,1852,52,1800,268,29,239,476,0,476
606100,1706,1151,1128,14,555,1513,6,79,102,731,285,308895.6459,820,8,812,122,698,2470,19,2451,179,13,166,266,0,266
606200,3153,2313,2168,137,840,2756,55,211,297,922,706,237284.8459,1478,42,1436,359,1119,4206,82,4124,273,49,224,698,0,698
606300,1768,1223,1199,24,545,1662,31,110,278,561,444,288999.8498,951,11,940,171,780,2507,10,2497,259,0,259,379,0,379
606400,2300,1566,1528,38,734,1974,31,138,160,731,408,413950.4,988,14,974,176,812,3231,23,3208,92,0,92,396,0,396
606500,2558,1547,1365,182,1011,2313,182,850,683,195,374,124532.7824,1146,29,1117,459,687,3059,178,2881,365,42,323,691,0,691
606600,2147,1781,1547,234,366,1896,35,353,433,555,344,153291.2903,1205,3,1202,293,912,2487,232,2255,525,155,370,426,0,426
606700,3933,2629,2561,68,1304,3591,213,1127,939,958,320,120912.7126,2172,61,2111,618,1554,4535,255,4280,572,144,428,852,0,852
606800,3356,2094,1978,116,1262,2925,500,835,782,518,252,111976.5957,1632,11,1621,445,1187,4114,308,3806,526,65,461,742,0,742
607000,3829,2373,2266,107,1456,3384,463,1662,665,473,93,84519.15612,1962,63,1899,486,1476,4577,337,4240,567,46,521,902,0,902
607100,2891,1891,1747,144,1000,2474,82,1098,604,515,169,105632.3651,1297,43,1254,377,920,3994,425,3569,449,63,386,439,0,439
607200,3783,2677,2468,209,1106,3140,253,1083,1147,499,108,106375.1033,1867,59,1808,407,1460,4313,317,3996,714,28,686,685,5,680
607300,3500,2656,2425,198,844,3095,215,1242,624,731,198,104610.2439,1784,49,1735,448,1336,4309,153,4156,922,96,826,708,0,708
607401,2281,1604,1451,153,677,2066,97,650,855,296,148,128979.1667,1157,22,1135,245,912,2686,189,2497,427,84,343,521,0,521
607402,2217,1506,1394,112,711,1986,153,658,631,296,188,101058.0597,1111,25,1086,235,876,2838,100,2738,317,70,247,418,0,418
607502,5353,2890,2774,116,2463,4806,353,708,1120,1434,503,265709.5322,2257,0,2257,907,1350,5972,63,5909,347,0,347,1762,0,1762
607503,5423,3530,3378,152,1893,4694,208,696,782,1514,980,202742.3549,2183,39,2144,608,1575,6129,297,5832,522,16,506,905,0,905
607504,2897,1839,1730,109,1058,2504,32,269,366,869,463,311343.4164,1188,17,1171,340,848,3944,19,3925,160,19,141,650,0,650
